genes	SRR1278968_counts.txt SRR1278969_counts.txt SRR1278970_counts.txt SRR1278971_counts.txt SRR1278972_counts.txt SRR1278973_counts.txt
CPAR2_101470 0 0 0 0 0 0
CPAR2_101480 0 1 0 0 0 0
CPAR2_101490 0 0 0 10 5 6
CPAR2_101500 0 0 0 4 8 3
CPAR2_101510 1 1 2 1 3 6
CPAR2_101520 9 16 14 101 105 85
CPAR2_101530 4 2 3 3 1 2
CPAR2_101540 58 49 51 143 189 88
CPAR2_101550 3 4 4 7 17 12
CPAR2_101560 0 0 0 3 1 3
CPAR2_101570 13 8 24 17 17 8
CPAR2_101580 0 0 0 0 0 0
CPAR2_101590 0 0 0 3 10 12
CPAR2_101600 0 0 0 1 0 1
CPAR2_101610 6 5 10 673 710 469
CPAR2_101620 0 0 0 3 0 0
CPAR2_101630 1 1 1 8 3 1
CPAR2_101640 0 1 2 5 1 6
CPAR2_101650 0 0 0 5 2 4
CPAR2_101660 4 6 1 50 114 57
CPAR2_101670 0 0 0 0 0 0
CPAR2_101680 0 0 0 0 0 0
CPAR2_101690 0 0 0 0 2 1
CPAR2_101700 1 0 1 0 2 1
CPAR2_101710 0 1 2 1 0 1
CPAR2_101720 0 0 0 1 0 0
CPAR2_101730 13 6 11 5 4 4
CPAR2_101740 0 0 0 9 8 5
CPAR2_101750 0 0 0 0 0 0
CPAR2_101760 0 1 2 2 3 1
CPAR2_101770 1 1 1 19 26 27
CPAR2_101780 3 0 2 24 21 25
CPAR2_101790 0 0 0 2 0 2
CPAR2_101800 3 4 6 21 9 13
CPAR2_101810 8 9 8 95 117 70
CPAR2_101820 0 0 0 0 1 1
CPAR2_101830 0 0 0 2 1 1
CPAR2_101840 0 0 0 0 0 0
CPAR2_101850 13 7 14 6 27 2
CPAR2_101860 14 6 16 42 56 55
CPAR2_101870 0 0 1 3 6 1
CPAR2_101880 0 0 0 0 0 1
CPAR2_101890 4 6 2 18 13 8
CPAR2_101900 1 0 2 7 4 3
CPAR2_101910 0 0 1 4 9 4
CPAR2_101920 0 0 0 0 0 0
CPAR2_101930 0 1 0 4 1 0
CPAR2_101940 0 0 0 0 1 0
CPAR2_101950 0 0 0 0 0 1
CPAR2_101960 0 2 0 1 4 0
CPAR2_101970 0 1 0 0 0 0
CPAR2_101980 0 0 0 0 2 1
CPAR2_101990 0 0 0 0 0 0
CPAR2_102000 0 0 2 6 8 6
CPAR2_102010 1 0 0 2 1 0
CPAR2_102020 0 0 0 2 1 1
CPAR2_102030 1 0 0 1 0 0
CPAR2_102040 0 0 0 2 0 0
CPAR2_102050 0 0 0 1 0 0
CPAR2_102060 6 2 6 4 21 8
CPAR2_102070 0 1 0 0 1 1
CPAR2_102080 5 3 3 20 22 12
CPAR2_102090 0 0 0 35 34 22
CPAR2_102100 0 0 0 0 1 0
CPAR2_102110 5 4 2 20 19 20
CPAR2_102120 0 0 0 0 0 0
CPAR2_102130 0 0 0 0 0 0
CPAR2_102140 6 2 4 6 6 6
CPAR2_102150 0 1 1 3 2 4
CPAR2_102160 0 0 0 12 5 3
CPAR2_102170 0 0 0 0 0 0
CPAR2_102180 5 3 3 36 15 13
CPAR2_102190 0 0 1 2 0 1
CPAR2_102200 0 0 0 0 0 1
CPAR2_102210 0 0 0 0 0 0
CPAR2_102220 0 1 0 0 0 1
CPAR2_102230 0 1 0 19 35 13
CPAR2_102240 0 0 0 0 0 0
CPAR2_102250 1 1 0 0 1 3
CPAR2_102260 0 0 0 2 6 0
CPAR2_102270 1 0 0 1 1 2
CPAR2_102280 1 0 0 0 0 0
CPAR2_102290 0 0 0 0 1 2
CPAR2_102300 1 0 0 4 4 3
CPAR2_102310 2 1 1 2 4 4
CPAR2_102320 3 7 10 1 2 2
CPAR2_102330 0 0 0 77 38 21
CPAR2_102340 0 0 0 0 0 0
CPAR2_102350 0 2 1 6 3 0
CPAR2_102360 0 0 0 1 0 0
CPAR2_102370 0 0 0 0 0 2
CPAR2_102380 0 0 0 0 0 0
CPAR2_102390 0 0 0 8 8 3
CPAR2_102400 0 2 1 4 3 6
CPAR2_102410 0 0 0 0 0 0
CPAR2_102420 0 0 0 11 6 8
CPAR2_102430 1 0 0 0 0 0
CPAR2_102440 0 0 0 0 0 0
CPAR2_102450 0 0 0 0 3 0
CPAR2_102460 2 1 1 1 8 4
CPAR2_102470 1 0 2 1 0 3
CPAR2_102480 8 7 4 1 6 4
CPAR2_102490 0 1 0 0 0 0
CPAR2_102500 0 0 0 0 0 0
CPAR2_102510 0 0 0 0 0 0
CPAR2_102520 0 0 0 0 0 0
CPAR2_102530 0 0 0 0 0 0
CPAR2_102540 0 0 0 0 2 0
CPAR2_102550 4 5 4 13 24 17
CPAR2_102560 0 0 0 0 1 0
CPAR2_102570 0 0 1 1 0 1
CPAR2_102580 20 24 22 140 150 77
CPAR2_102590 0 0 2 3 12 8
CPAR2_102600 0 0 0 0 0 0
CPAR2_102610 0 0 0 1 1 0
CPAR2_102620 0 0 0 0 0 0
CPAR2_102630 0 0 0 2 1 0
CPAR2_102640 0 0 0 0 0 0
CPAR2_102650 0 1 3 2 1 1
CPAR2_102660 0 0 0 0 0 0
CPAR2_102670 0 0 0 0 0 0
CPAR2_102680 2 3 0 4 1 4
CPAR2_102690 1 0 1 3 1 1
CPAR2_102700 0 0 0 0 2 1
CPAR2_102710 0 0 0 1 2 1
CPAR2_102720 0 0 1 1 1 0
CPAR2_102730 0 0 0 0 0 0
CPAR2_102740 0 0 0 0 0 0
CPAR2_102750 0 0 0 1 3 1
CPAR2_102760 0 0 1 34 31 6
CPAR2_102770 2 0 0 3 2 1
CPAR2_102780 0 0 0 1 2 0
CPAR2_102790 0 0 0 1 0 0
CPAR2_102800 0 0 0 0 0 2
CPAR2_102810 0 1 1 3 0 0
CPAR2_102820 0 4 3 2 3 1
CPAR2_102830 2 2 0 0 0 0
CPAR2_102840 1 1 0 0 0 0
CPAR2_102850 0 0 1 1 0 1
CPAR2_102860 0 0 0 0 0 0
CPAR2_102870 0 0 1 0 0 0
CPAR2_102880 2 14 8 18 31 16
CPAR2_102890 0 0 0 0 0 0
CPAR2_102900 0 0 0 0 0 2
CPAR2_102910 1 0 0 0 1 2
CPAR2_102920 30 31 39 32 48 57
CPAR2_102930 2 1 2 40 42 17
CPAR2_102940 0 1 0 5 2 5
CPAR2_102950 9 10 10 27 37 25
CPAR2_102960 91 106 84 428 474 322
CPAR2_102970 1 0 1 1 1 2
CPAR2_102980 0 0 0 0 0 0
CPAR2_102990 0 0 0 1 1 3
CPAR2_103000 0 0 0 3 0 0
CPAR2_103010 1 1 0 2 0 1
