genes	SRR1278968_counts.txt SRR1278969_counts.txt SRR1278970_counts.txt SRR1278971_counts.txt SRR1278972_counts.txt SRR1278973_counts.txt
CPAR2_106470 0 0 0 0 1 2
CPAR2_106480 0 0 1 1 1 0
CPAR2_106490 4 5 5 1 7 6
CPAR2_106500 3 4 3 19 26 15
CPAR2_106510 0 0 0 8 7 6
CPAR2_106520 1 1 0 4 5 2
CPAR2_106530 3 1 1 6 15 10
CPAR2_106540 0 0 0 0 0 0
CPAR2_106550 0 0 0 3 3 3
CPAR2_106560 0 0 0 0 0 0
CPAR2_106570 0 0 0 0 1 0
CPAR2_106580 0 0 0 2 0 1
CPAR2_106590 1 1 2 1 0 1
CPAR2_106600 1 1 0 2 4 0
CPAR2_106610 0 0 0 0 0 0
CPAR2_106620 1 0 2 11 4 8
CPAR2_106630 108 122 123 123 166 100
CPAR2_106640 0 3 1 1 1 0
CPAR2_106650 0 0 0 0 1 0
CPAR2_106660 0 0 0 1 0 0
CPAR2_106670 1 0 1 2 3 1
CPAR2_106680 0 0 0 2 0 0
CPAR2_106690 1 4 1 54 85 33
CPAR2_106700 2 0 1 2 1 0
CPAR2_106710 0 0 2 1 0 1
CPAR2_106720 0 0 0 2 3 0
CPAR2_106730 0 1 0 0 0 0
CPAR2_106740 0 0 0 0 3 1
CPAR2_106750 11 8 7 71 64 64
CPAR2_106760 1 0 1 3 3 0
CPAR2_106770 3 3 0 2 5 2
CPAR2_106780 1 0 0 0 1 1
CPAR2_106790 0 1 0 3 2 1
CPAR2_106800 0 0 0 1 1 1
CPAR2_106810 0 0 0 0 1 0
CPAR2_106820 7 11 9 29 26 8
CPAR2_106830 2 2 2 1 3 0
CPAR2_106840 36 41 34 63 95 64
CPAR2_106850 20 15 11 54 54 25
CPAR2_106860 0 0 0 0 0 0
CPAR2_106870 2 2 0 19 22 19
CPAR2_106880 0 0 0 0 0 2
CPAR2_106890 1 3 1 2 3 2
CPAR2_106900 0 0 0 0 2 0
CPAR2_106910 0 1 0 13 4 5
CPAR2_106920 0 0 1 0 0 0
CPAR2_106930 1 0 0 1 0 2
CPAR2_106940 2 0 1 2 1 0
CPAR2_106950 0 0 0 2 0 2
CPAR2_106960 0 0 0 8 11 0
CPAR2_106970 2 1 0 2 1 0
CPAR2_106980 3 4 7 2 4 4
CPAR2_106990 3 4 1 5 3 3
CPAR2_107000 0 0 1 1 2 0
CPAR2_107010 0 0 1 0 0 0
CPAR2_107020 0 1 0 0 0 0
CPAR2_107030 0 0 0 1 0 0
CPAR2_107040 0 0 0 0 0 0
CPAR2_107050 0 1 0 1 0 0
CPAR2_107060 0 0 0 0 3 0
CPAR2_107070 0 0 0 0 0 0
CPAR2_107080 1 2 2 20 21 2
CPAR2_107090 0 0 0 0 0 0
CPAR2_107100 1 2 0 2 2 1
CPAR2_107110 1 0 0 3 2 1
CPAR2_107120 0 0 1 1 0 0
CPAR2_107130 0 1 1 10 16 4
CPAR2_107140 2 6 0 9 15 3
CPAR2_107150 0 0 1 0 1 0
CPAR2_107160 0 0 0 3 1 1
CPAR2_107170 0 0 0 2 1 1
CPAR2_107180 3 1 8 0 0 0
CPAR2_107190 0 1 0 0 0 0
CPAR2_107200 0 0 0 0 0 0
CPAR2_107210 0 0 0 0 0 0
CPAR2_107220 1 2 1 12 6 5
CPAR2_107230 34 42 59 14 18 39
CPAR2_107240 0 1 0 1 1 2
CPAR2_107250 0 0 0 1 3 4
CPAR2_107260 0 0 0 3 0 1
CPAR2_107270 0 1 1 1 4 0
CPAR2_107280 22 26 22 145 108 89
CPAR2_107290 5 1 1 9 10 5
CPAR2_107300 1 0 1 1 1 0
CPAR2_107310 18 12 11 70 73 33
CPAR2_107320 0 4 4 66 62 58
CPAR2_107330 0 0 0 0 0 0
CPAR2_107340 2 1 0 3 2 0
CPAR2_107350 0 0 0 0 0 0
CPAR2_107360 0 0 0 0 0 0
CPAR2_107370 0 0 2 0 5 0
CPAR2_107380 3 0 1 2 3 3
CPAR2_107390 0 0 0 1 0 0
CPAR2_107400 0 0 0 1 1 1
CPAR2_107410 0 1 1 0 2 1
CPAR2_107420 4 1 4 14 16 11
CPAR2_107430 0 0 1 2 0 1
CPAR2_107440 0 0 0 0 0 0
CPAR2_107450 0 0 0 2 2 1
CPAR2_107460 0 0 1 2 0 0
CPAR2_107470 0 0 0 0 0 0
CPAR2_107480 0 0 1 0 0 0
CPAR2_107490 0 0 0 0 0 2
CPAR2_107500 1 0 1 0 1 0
CPAR2_107510 28 15 11 54 66 55
CPAR2_107520 0 0 0 2 3 1
CPAR2_107530 0 0 0 0 0 0
CPAR2_107540 0 0 0 0 0 0
CPAR2_107550 0 0 0 0 0 0
CPAR2_107560 6 3 3 2 2 0
CPAR2_107570 0 0 0 3 3 14
CPAR2_107580 0 0 0 0 0 0
CPAR2_107590 0 0 0 0 0 0
CPAR2_107600 0 1 0 1 1 0
CPAR2_107610 1 3 0 16 28 12
CPAR2_107620 4 6 4 5 4 4
CPAR2_107630 0 0 0 0 0 0
CPAR2_107640 0 0 0 3 1 1
CPAR2_107650 1 0 0 0 1 0
CPAR2_107660 2 0 1 3 4 0
CPAR2_107670 0 0 0 0 0 0
CPAR2_107680 1 0 0 4 0 1
CPAR2_107690 1 1 6 1 1 1
CPAR2_107700 0 3 0 4 3 3
CPAR2_107710 0 0 0 0 0 0
CPAR2_107720 0 0 1 13 10 5
CPAR2_107730 0 0 0 5 7 2
CPAR2_107740 0 0 0 1 0 0
CPAR2_107750 0 2 1 1 6 2
CPAR2_107760 1 3 1 7 7 1
CPAR2_107770 0 1 0 1 1 1
CPAR2_107780 1 0 2 2 1 1
CPAR2_107790 1 1 0 1 1 5
CPAR2_107800 0 3 2 1 1 1
CPAR2_107810 0 0 0 0 1 2
CPAR2_107820 0 0 0 3 13 2
CPAR2_107830 0 0 0 0 0 0
CPAR2_107840 0 1 0 0 0 0
CPAR2_107850 0 0 0 0 1 0
CPAR2_107860 1 0 0 1 0 2
CPAR2_107870 5 8 8 14 6 9
CPAR2_107880 0 0 0 1 1 1
CPAR2_107890 1 4 0 7 1 1
CPAR2_107900 1 0 0 1 1 1
CPAR2_107910 0 0 0 1 1 0
CPAR2_107920 0 0 0 0 0 0
CPAR2_107930 0 0 0 0 0 0
CPAR2_107940 2 0 0 2 1 1
CPAR2_107950 0 0 0 5 0 1
CPAR2_107960 0 3 1 5 8 2
CPAR2_107970 0 0 0 0 1 1
CPAR2_107980 0 0 1 0 0 0
CPAR2_107990 5 0 1 18 13 8
CPAR2_108000 1 0 1 2 2 6
CPAR2_108010 0 0 0 1 0 0
CPAR2_108020 1 0 0 0 0 0
CPAR2_108030 0 0 0 1 1 0
CPAR2_108040 0 0 0 2 4 2
CPAR2_108050 16 25 22 104 155 104
CPAR2_108060 0 3 1 58 41 33
CPAR2_108070 0 1 1 0 0 0
CPAR2_108080 0 0 0 2 1 2
CPAR2_108090 0 1 0 2 2 1
CPAR2_108100 3 3 1 2 3 0
CPAR2_108120 0 0 0 0 0 0
CPAR2_108130 0 0 0 1 0 1
CPAR2_108140 0 0 0 0 2 0
CPAR2_108150 0 0 0 0 0 0
CPAR2_108170 0 0 1 1 1 2
CPAR2_108180 0 0 0 1 2 2
CPAR2_108190 0 0 0 14 13 2
CPAR2_108200 0 0 1 0 0 0
CPAR2_108210 1 0 4 12 11 22
CPAR2_108220 8 9 8 603 411 231
CPAR2_108230 0 0 0 0 0 0
CPAR2_108240 0 0 0 0 0 0
CPAR2_108260 0 0 0 1 3 2
CPAR2_108270 10 8 8 256 177 87
CPAR2_108280 2 2 3 7 3 4
CPAR2_108290 0 1 0 12 4 7
CPAR2_108300 2 2 4 1 3 0
CPAR2_108310 0 0 0 0 0 0
CPAR2_108320 0 0 0 0 0 0
CPAR2_108330 5 5 5 34 24 6
CPAR2_108340 0 1 1 1 0 1
CPAR2_108350 7 1 7 7 13 8
CPAR2_108360 8 6 10 6 4 6
CPAR2_108370 0 0 0 0 0 1
CPAR2_108380 1 0 0 0 0 1
CPAR2_108390 0 1 0 0 4 2
CPAR2_108400 0 0 3 31 46 29
CPAR2_108410 0 0 0 1 0 1
CPAR2_108420 0 0 0 0 0 0
CPAR2_108430 0 2 0 0 2 0
CPAR2_108440 0 0 0 0 0 0
CPAR2_108450 4 1 4 13 9 7
CPAR2_108460 0 0 0 0 0 3
CPAR2_108470 0 0 0 0 4 4
CPAR2_108480 0 0 0 0 0 0
CPAR2_108490 0 0 0 0 0 0
CPAR2_108500 0 1 0 15 30 40
CPAR2_108510 0 0 0 0 0 0
CPAR2_108520 171 187 150 575 540 415
CPAR2_108530 0 0 0 1 0 0
CPAR2_108540 1 0 1 5 13 14
CPAR2_108550 4 4 3 0 1 0
CPAR2_108560 0 0 0 5 1 1
CPAR2_108570 0 1 1 2 2 3
CPAR2_108580 0 0 0 1 1 0
CPAR2_108590 1 0 0 1 2 0
CPAR2_108600 2 0 3 1 0 4
CPAR2_108610 0 0 0 2 1 1
CPAR2_108620 0 0 0 0 0 0
CPAR2_108630 0 0 2 0 0 1
CPAR2_108640 2 1 1 0 1 1
CPAR2_108650 0 0 0 0 1 0
CPAR2_108660 0 0 0 0 0 0
CPAR2_108670 0 0 0 1 5 1
CPAR2_108680 3 0 1 3 6 7
CPAR2_108690 0 0 0 0 0 0
CPAR2_108700 0 0 0 0 2 0
CPAR2_108710 0 0 0 0 0 0
CPAR2_108720 0 0 0 1 0 0
CPAR2_108740 0 0 0 22 11 10
CPAR2_108750 1 0 3 1 4 1
CPAR2_108760 0 0 1 25 29 19
CPAR2_108770 0 1 1 2 2 1
CPAR2_108780 0 0 0 6 4 2
CPAR2_108790 0 1 0 1 4 0
CPAR2_108800 0 1 0 0 0 1
CPAR2_108810 3 0 3 2 5 5
CPAR2_108820 0 0 0 1 1 5
CPAR2_108830 1 1 1 3 6 6
CPAR2_108840 1 0 2 5 12 18
CPAR2_108850 0 0 0 7 2 2
CPAR2_108860 0 0 0 0 0 0
CPAR2_108870 5 9 5 25 25 6
CPAR2_108880 0 0 1 0 0 1
CPAR2_108890 440 420 476 573 507 402
CPAR2_108900 0 0 0 17 10 8
CPAR2_108910 1 0 1 6 4 2
CPAR2_108915 0 0 0 0 0 0
CPAR2_108920 1 0 0 0 0 0
CPAR2_108930 1 0 0 2 5 1
CPAR2_108940 0 0 0 1 1 3
CPAR2_108950 0 0 0 1 0 0
CPAR2_108960 4 7 8 10 10 14
CPAR2_108970 6 9 9 6 16 8
CPAR2_108980 0 0 1 3 5 4
CPAR2_108990 3 0 1 0 4 1
CPAR2_109000 1 0 0 0 2 0
CPAR2_109010 0 0 1 2 5 2
CPAR2_109020 0 1 1 2 2 0
CPAR2_109030 2 1 4 15 15 16
CPAR2_109040 3 2 4 25 16 14
CPAR2_109050 0 0 0 0 0 0
CPAR2_109060 0 1 0 0 3 1
CPAR2_109070 0 0 0 0 0 0
CPAR2_109080 5 9 14 8 13 7
CPAR2_109090 0 0 0 0 4 0
CPAR2_109100 0 0 0 0 0 2
CPAR2_109110 0 0 0 0 0 0
CPAR2_109120 0 0 1 2 0 0
CPAR2_109130 0 0 0 0 0 0
CPAR2_109140 3 0 0 0 3 0
CPAR2_109150 0 0 0 0 1 1
CPAR2_109160 2 0 1 1 5 1
CPAR2_109170 0 0 0 0 0 0
CPAR2_109180 0 1 0 0 0 0
CPAR2_109190 0 0 0 9 8 6
CPAR2_109200 0 0 0 6 8 3
CPAR2_109210 4 3 2 12 9 11
CPAR2_109220 0 0 0 0 0 0
CPAR2_109230 12 8 6 0 0 2
CPAR2_109240 0 1 0 1 7 9
CPAR2_109250 0 1 0 1 0 0
CPAR2_109260 0 0 0 3 1 0
CPAR2_109270 2 1 1 8 12 3
CPAR2_109280 0 0 0 1 0 2
CPAR2_109290 0 3 2 4 6 3
CPAR2_109300 0 0 0 3 5 1
CPAR2_109310 0 0 0 1 0 0
CPAR2_109320 0 0 0 2 3 4
CPAR2_109330 0 0 0 1 2 2
CPAR2_109340 8 9 6 60 60 43
CPAR2_109350 0 0 0 0 0 0
CPAR2_109360 1 1 0 2 2 0
CPAR2_109370 3 1 1 36 24 17
CPAR2_109380 0 0 0 0 0 0
CPAR2_109390 0 0 0 0 0 0
CPAR2_109400 0 0 0 0 0 0
CPAR2_109410 2 0 3 4 5 3
CPAR2_109420 0 0 0 0 1 0
CPAR2_109430 0 1 0 0 0 0
CPAR2_109440 0 1 0 4 2 0
CPAR2_109450 0 0 0 0 6 1
CPAR2_109460 0 0 0 0 0 0
CPAR2_109470 0 0 0 0 0 0
CPAR2_109480 0 0 0 0 0 0
CPAR2_109490 0 0 0 0 0 0
CPAR2_109500 0 1 0 4 6 4
CPAR2_109510 1 0 0 3 21 9
CPAR2_109520 0 0 0 2 2 0
CPAR2_109530 0 1 0 2 1 0
CPAR2_109540 2 1 0 5 3 4
CPAR2_109545 233 230 233 71 66 72
CPAR2_109550 1 0 0 51 77 30
CPAR2_109560 1 2 1 4 5 1
CPAR2_109570 16 9 17 10 8 3
CPAR2_109580 0 0 0 0 1 1
CPAR2_109590 0 0 1 3 1 1
CPAR2_109600 0 1 3 10 20 8
CPAR2_109610 0 2 0 0 0 0
CPAR2_109620 0 0 0 1 1 0
CPAR2_109630 0 0 0 0 2 0
CPAR2_109640 4 3 3 4 2 4
CPAR2_109650 0 0 0 14 7 3
CPAR2_109660 0 0 0 5 4 3
CPAR2_109670 4 8 6 3 18 7
CPAR2_109680 1 2 5 1 1 2
CPAR2_109690 239 202 203 86 92 68
CPAR2_109700 0 1 0 0 0 0
CPAR2_109710 0 0 2 0 1 0
CPAR2_109720 0 0 0 0 0 0
CPAR2_109730 4 1 0 4 8 7
CPAR2_109740 0 0 0 0 0 0
CPAR2_109750 27 13 21 167 186 82
CPAR2_109760 3 0 0 5 4 2
CPAR2_109770 0 0 0 0 0 1
CPAR2_109780 6 0 4 5 4 2
CPAR2_109790 3 1 1 10 15 12
CPAR2_109800 2 0 1 8 4 2
CPAR2_109810 2 1 1 13 10 2
CPAR2_109830 0 0 0 0 2 1
CPAR2_109840 112 103 92 27 24 17
CPAR2_109850 1 0 0 1 2 0
CPAR2_109860 0 0 1 7 5 0
CPAR2_109870 6 4 6 4 2 3
CPAR2_109880 0 0 1 1 1 0
CPAR2_109890 9 3 6 1 4 7
CPAR2_109900 0 1 0 0 0 0
CPAR2_109910 0 0 1 1 0 1
CPAR2_109920 8 7 3 49 43 20
CPAR2_109930 0 0 0 1 0 0
CPAR2_109940 0 0 0 0 0 0
CPAR2_109950 7 12 5 5 9 6
CPAR2_109960 0 2 0 5 5 3
CPAR2_109970 0 0 0 3 0 0
CPAR2_109980 4 3 11 1 3 3
CPAR2_109990 0 0 0 4 4 3
CPAR2_110000 0 0 0 0 0 0
CPAR2_110010 0 1 0 0 1 4
CPAR2_110020 1 0 0 0 1 0
CPAR2_110030 0 1 0 1 0 0
CPAR2_110040 0 0 0 0 0 0
CPAR2_110050 0 0 0 0 0 0
CPAR2_110060 0 1 2 2 6 3
CPAR2_110070 2 3 3 46 41 14
CPAR2_110080 0 0 0 0 1 0
CPAR2_110090 0 0 0 0 0 0
CPAR2_110100 0 0 0 0 0 2
CPAR2_110110 1 2 2 3 2 6
CPAR2_110120 0 0 0 0 3 0
CPAR2_110130 0 0 0 1 0 2
CPAR2_110140 0 0 0 0 0 0
CPAR2_110150 2 5 6 3 1 1
CPAR2_110160 158 186 175 127 194 241
CPAR2_110170 0 0 0 0 0 0
CPAR2_110180 87 107 119 332 365 302
CPAR2_110190 0 0 1 0 0 0
CPAR2_110200 0 1 0 9 8 3
CPAR2_110210 3 2 3 4 5 11
CPAR2_110220 0 0 0 1 0 0
CPAR2_110230 1 0 3 1 1 0
CPAR2_110240 1 1 0 15 16 11
CPAR2_110250 0 0 0 0 2 0
CPAR2_110260 35 52 35 109 128 88
CPAR2_110270 29 34 37 73 85 51
CPAR2_110280 0 0 0 0 0 0
CPAR2_110290 0 0 0 0 0 0
CPAR2_110300 0 0 0 0 0 0
CPAR2_110310 0 0 0 0 0 0
CPAR2_110320 0 1 0 2 1 0
CPAR2_110330 0 0 2 3 1 3
CPAR2_110340 31 23 19 48 52 29
CPAR2_110350 0 0 0 1 0 2
CPAR2_110360 18 17 23 20 28 16
CPAR2_110370 1 0 0 4 2 2
CPAR2_110380 1 0 1 3 7 13
CPAR2_110390 1 1 1 2 1 1
CPAR2_110400 9 8 12 8 9 13
CPAR2_110410 0 0 0 3 3 5
CPAR2_110420 0 0 0 0 0 0
CPAR2_110430 1 0 0 0 0 0
CPAR2_110440 0 1 0 7 13 4
CPAR2_110450 21 20 24 32 30 18
CPAR2_110460 0 0 0 0 0 1
CPAR2_110470 0 0 1 1 0 0
CPAR2_110480 1 0 5 4 4 5
CPAR2_110490 74 66 82 158 187 203
CPAR2_200010 0 0 0 0 0 2
CPAR2_200020 0 2 0 3 0 2
CPAR2_200030 0 0 1 0 0 0
CPAR2_200040 0 0 0 3 1 1
CPAR2_200050 0 0 0 2 3 1
CPAR2_200060 2 1 2 4 4 7
CPAR2_200070 0 0 0 2 1 1
CPAR2_200080 10 11 18 9 14 15
CPAR2_200090 0 0 0 0 0 0
CPAR2_200100 2 0 0 1 1 0
CPAR2_200110 0 3 0 0 0 3
CPAR2_200120 1 0 0 0 0 0
CPAR2_200130 1 2 0 7 3 2
CPAR2_200140 0 1 0 0 0 0
CPAR2_200150 535 526 423 757 911 795
CPAR2_200160 2 1 0 1 0 0
CPAR2_200170 0 0 0 0 0 0
CPAR2_200180 6 1 1 0 6 2
CPAR2_200190 13 7 11 60 59 36
CPAR2_200200 0 0 0 1 0 1
CPAR2_200210 1 1 2 13 18 4
CPAR2_200220 1 3 3 22 11 16
CPAR2_200230 0 0 1 0 2 1
CPAR2_200240 4 1 1 6 9 8
CPAR2_200250 0 0 0 0 0 0
CPAR2_200260 0 0 0 0 0 0
CPAR2_200270 0 0 0 0 0 0
CPAR2_200280 1 0 0 0 1 2
CPAR2_200290 1 0 1 0 1 3
CPAR2_200300 0 0 0 0 0 0
CPAR2_200310 0 0 0 2 1 0
CPAR2_200320 2 3 2 0 9 4
CPAR2_200330 2 6 3 1 0 1
CPAR2_200340 71 72 53 29 79 69
CPAR2_200350 2 0 0 2 4 3
CPAR2_200360 1 0 0 1 5 0
CPAR2_200370 0 1 0 0 0 0
CPAR2_200380 1 0 1 0 0 0
CPAR2_200390 0 0 0 1 0 0
CPAR2_200400 0 0 0 0 3 0
CPAR2_200410 0 0 0 0 0 0
CPAR2_200420 0 0 2 1 0 0
CPAR2_200430 0 0 0 0 0 1
CPAR2_200440 0 0 0 0 0 0
CPAR2_200450 0 0 1 0 0 0
CPAR2_200460 1 2 1 3 8 2
CPAR2_200470 1 3 3 1 1 4
CPAR2_200480 0 0 0 0 1 0
CPAR2_200490 3 2 3 5 3 1
CPAR2_200500 1 0 0 3 8 4
CPAR2_200510 2 3 0 0 0 0
CPAR2_200520 0 0 0 0 0 0
CPAR2_200530 10 14 7 19 13 8
CPAR2_200540 0 0 0 0 0 0
CPAR2_200550 1 2 0 2 2 2
CPAR2_200560 0 0 0 0 0 1
CPAR2_200570 0 1 3 0 1 0
CPAR2_200580 0 1 0 1 1 2
CPAR2_200590 1 0 0 5 4 3
CPAR2_200600 6 1 3 86 83 42
CPAR2_200610 0 0 0 0 0 0
CPAR2_200620 6 6 1 211 224 129
CPAR2_200630 118 141 140 21 37 23
CPAR2_200640 3 4 4 60 63 35
CPAR2_200650 0 0 0 9 2 4
CPAR2_200660 110 110 111 37 60 60
CPAR2_200670 2 3 2 5 4 1
CPAR2_200680 0 0 1 1 8 1
CPAR2_200690 0 0 0 1 4 3
CPAR2_200700 0 0 0 0 1 0
CPAR2_200710 0 0 0 0 0 0
CPAR2_200720 21 8 18 60 46 32
CPAR2_200730 0 0 3 2 1 2
CPAR2_200740 0 1 1 0 1 0
CPAR2_200750 0 0 1 0 0 0
CPAR2_200760 0 0 1 5 5 1
CPAR2_200770 0 0 0 0 1 1
CPAR2_200780 0 0 0 0 0 0
CPAR2_200790 1 2 4 5 3 0
CPAR2_200800 7 2 4 1 1 0
CPAR2_200810 0 0 0 2 0 0
CPAR2_200820 0 2 0 0 1 1
CPAR2_200830 1 1 2 1 5 8
CPAR2_200840 1 2 0 0 5 0
CPAR2_200850 0 0 0 5 4 0
CPAR2_200860 0 0 0 0 1 0
CPAR2_200870 0 0 0 0 0 0
CPAR2_200880 0 1 0 7 4 9
CPAR2_200890 0 0 0 0 0 0
CPAR2_200900 1 1 1 2 1 2
CPAR2_200910 0 0 0 2 8 3
CPAR2_200920 1 0 0 0 1 0
CPAR2_200930 1 0 1 0 1 1
CPAR2_200940 0 1 2 4 10 2
CPAR2_200950 0 0 0 0 1 1
CPAR2_200960 0 0 0 0 0 0
CPAR2_200970 28 22 42 146 152 116
CPAR2_200980 0 0 1 58 26 6
CPAR2_200990 0 0 0 0 0 0
CPAR2_201000 0 0 2 0 0 0
CPAR2_201010 0 0 0 0 0 0
CPAR2_201020 4 5 3 6 7 11
CPAR2_201030 0 2 2 8 6 4
CPAR2_201040 0 0 0 1 2 2
CPAR2_201050 27 23 27 123 165 104
CPAR2_201060 1 1 4 25 31 34
CPAR2_201070 1 2 1 0 1 0
CPAR2_201080 1 3 1 0 2 1
CPAR2_201090 1 0 1 1 4 1
CPAR2_201100 0 0 0 0 1 2
CPAR2_201110 0 1 0 0 0 0
CPAR2_201120 87 114 77 108 129 78
CPAR2_201130 2 6 5 10 11 6
CPAR2_201140 1 1 0 6 5 2
CPAR2_201150 0 0 0 0 1 0
CPAR2_201160 0 0 0 0 0 0
CPAR2_201170 0 1 0 15 4 6
CPAR2_201180 0 0 0 2 0 0
CPAR2_201190 0 0 0 1 2 0
CPAR2_201200 0 0 0 0 0 0
CPAR2_201210 0 0 0 1 0 0
CPAR2_201220 3 3 0 11 8 2
CPAR2_201230 3 1 1 1 2 0
CPAR2_201240 13 12 12 20 34 12
CPAR2_201250 0 0 1 1 0 0
CPAR2_201260 2 2 2 3 5 1
CPAR2_201270 0 1 0 1 0 3
CPAR2_201280 14 19 11 22 27 13
CPAR2_201290 0 0 0 0 2 2
CPAR2_201300 1 0 0 4 0 0
CPAR2_201310 1 0 1 4 12 2
CPAR2_201320 2 4 6 11 10 9
CPAR2_201330 2 0 1 1 3 2
CPAR2_201340 0 1 0 0 2 0
CPAR2_201350 0 1 3 2 9 7
CPAR2_201360 0 0 0 0 0 0
CPAR2_201370 10 15 6 23 17 9
CPAR2_201380 0 0 0 0 1 0
CPAR2_201390 0 0 1 0 0 0
CPAR2_201400 0 0 0 1 0 0
CPAR2_201410 0 0 0 0 0 0
CPAR2_201420 0 0 0 3 7 6
CPAR2_201430 7 8 9 14 17 18
CPAR2_201440 0 0 1 1 0 0
CPAR2_201450 0 0 0 1 0 1
CPAR2_201460 0 0 1 0 1 0
CPAR2_201470 0 0 0 0 0 1
CPAR2_201480 0 0 0 0 5 2
CPAR2_201490 0 1 1 1 0 0
CPAR2_201500 69 66 79 31 40 40
CPAR2_201510 0 0 0 5 10 2
CPAR2_201520 0 0 0 6 17 1
CPAR2_201530 2 0 0 1 4 7
CPAR2_201540 9 9 10 8 17 0
CPAR2_201550 1 0 0 14 9 5
CPAR2_201560 0 0 0 0 0 0
CPAR2_201570 0 0 0 1 0 2
CPAR2_201580 0 0 0 0 0 0
CPAR2_201590 0 1 1 0 1 2
CPAR2_201600 0 0 1 2 0 2
CPAR2_201610 115 118 152 362 481 448
CPAR2_201620 2 0 2 2 0 1
CPAR2_201630 14 18 20 25 24 16
CPAR2_201640 0 4 2 6 5 3
CPAR2_201650 0 0 0 0 0 0
CPAR2_201660 13 11 13 15 20 23
CPAR2_201670 1 1 2 11 13 5
CPAR2_201680 63 54 62 82 141 87
CPAR2_201690 2 3 0 4 4 0
CPAR2_201700 0 0 0 0 1 0
CPAR2_201710 28 18 28 33 53 24
CPAR2_201720 0 0 0 1 2 0
CPAR2_201730 0 0 0 2 4 2
CPAR2_201740 13 14 18 72 71 62
CPAR2_201750 1 3 1 4 8 1
CPAR2_201760 7 4 2 13 18 17
CPAR2_201770 0 0 0 5 3 3
CPAR2_201780 0 0 0 0 1 2
CPAR2_201790 0 0 0 22 15 8
CPAR2_201800 0 0 0 7 8 5
CPAR2_201810 22 22 23 4 12 12
CPAR2_201820 0 0 0 0 0 0
CPAR2_201830 0 0 0 0 1 0
CPAR2_201840 0 0 0 0 0 1
CPAR2_201850 1 2 1 0 0 1
CPAR2_201860 0 0 0 0 2 0
CPAR2_201870 2 0 0 0 0 0
CPAR2_201880 0 0 0 2 5 1
CPAR2_201890 1 5 3 1 3 0
CPAR2_201900 6 6 7 27 33 25
CPAR2_201910 1 3 2 1 0 4
CPAR2_201920 0 0 1 1 0 0
CPAR2_201930 1 1 4 23 34 24
CPAR2_201940 2 0 0 3 6 2
CPAR2_201950 1 3 8 5 1 3
CPAR2_201960 0 0 1 1 4 2
CPAR2_201970 0 0 0 1 1 0
CPAR2_201980 1 0 0 0 0 0
CPAR2_201990 9 7 6 14 29 18
CPAR2_202000 0 0 0 1 2 0
CPAR2_202010 1 0 0 1 1 2
CPAR2_202020 0 0 0 0 0 0
CPAR2_202030 1 0 2 0 2 0
CPAR2_202040 0 0 0 0 0 0
CPAR2_202050 0 0 0 12 7 7
CPAR2_202060 0 0 0 1 0 1
CPAR2_202070 0 0 0 0 0 0
CPAR2_202080 0 0 0 0 0 0
CPAR2_202090 2 0 3 6 8 8
CPAR2_202100 0 0 0 1 1 0
CPAR2_202110 7 7 9 21 19 8
CPAR2_202120 35 23 51 377 402 253
CPAR2_202130 1 1 0 3 2 0
CPAR2_202140 0 0 0 0 1 0
CPAR2_202150 0 1 1 7 7 4
CPAR2_202160 16 15 15 48 59 14
CPAR2_202170 0 2 0 0 0 0
CPAR2_202180 0 1 0 17 19 10
CPAR2_202190 3 1 6 6 15 2
CPAR2_202200 0 0 1 0 0 0
CPAR2_202210 0 0 0 1 0 1
CPAR2_202220 5 3 6 22 32 21
CPAR2_202230 1 1 2 7 2 7
CPAR2_202240 1 1 0 0 1 1
CPAR2_202250 0 1 1 0 0 0
CPAR2_202260 0 0 0 0 1 0
CPAR2_202270 1 1 0 1 3 2
CPAR2_202280 0 1 3 1 2 4
CPAR2_202290 0 0 0 5 0 1
CPAR2_202300 3 3 4 2 1 2
CPAR2_202310 5 3 3 35 43 25
CPAR2_202320 1 0 0 0 0 0
CPAR2_202330 6 2 3 16 14 8
CPAR2_202340 1 0 0 2 0 0
CPAR2_202350 1 0 0 0 0 1
CPAR2_202360 1 0 0 3 1 1
CPAR2_202370 0 0 0 2 3 0
CPAR2_202380 73 56 87 8 14 11
CPAR2_202390 1 0 0 5 10 4
CPAR2_202400 0 0 0 0 0 0
CPAR2_202410 0 0 0 0 0 0
CPAR2_202420 40 42 49 49 53 43
CPAR2_202430 2 3 1 16 19 13
CPAR2_202440 0 0 0 2 3 2
CPAR2_202450 0 0 0 2 3 2
CPAR2_202460 0 0 0 0 0 2
CPAR2_202470 1 1 0 0 1 0
CPAR2_202480 0 0 2 1 1 0
CPAR2_202490 4 1 0 5 2 4
CPAR2_202500 0 1 2 39 33 9
CPAR2_202510 5 6 1 0 0 1
CPAR2_202520 1 0 2 12 11 8
CPAR2_202530 0 0 1 2 1 0
CPAR2_202540 1 10 4 112 113 69
CPAR2_202550 0 0 0 0 0 0
CPAR2_202560 3 3 0 1 3 3
CPAR2_202570 6 9 10 19 27 4
CPAR2_202580 112 72 71 348 430 207
CPAR2_202590 0 0 0 0 0 0
CPAR2_202600 1 0 0 0 0 0
CPAR2_202610 0 0 0 2 2 1
CPAR2_202620 0 0 0 0 1 0
CPAR2_202630 3 3 6 0 0 1
